id,year,season_type,game_id,game_date,game_teams,period,result,shot_type,shot_value,shot_zone,shot_range,shot_distance,shot_xlocation,shot_ylocation,opponent
0,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,130,33,SEA
1,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,100,121,SEA
2,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,136,214,SEA
3,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-128,1,SEA
4,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,SEA
5,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,164,-8,GSW
6,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,1,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,14,63,128,GSW
7,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,130,212,GSW
8,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,9,-70,68,GSW
9,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,121,216,GSW
10,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,78,151,GSW
11,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,164,184,GSW
12,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,78,239,GSW
13,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-85,85,GSW
14,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,-36,42,GSW
15,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
16,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,138,207,UTA
17,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,18,186,UTA
18,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
19,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,147,203,UTA
20,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,126,-16,UTA
21,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,-136,158,UTA
22,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-143,87,UTA
23,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-121,-5,UTA
24,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,138,130,UTA
25,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,196,-16,UTA
26,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,10,-100,42,UTA
27,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
28,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,-128,130,UTA
29,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,231,104,HOU
30,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,HOU
31,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,1,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,HOU
32,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-1,158,HOU
33,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,HOU
34,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,154,-1,HOU
35,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,HOU
36,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,HOU
37,1998-99,Regular Season,0029800059,"FEB 11, 1999",DAL vs. HOU,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,-158,76,HOU
38,1998-99,Regular Season,0029800063,"FEB 12, 1999",DAL @ DEN,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,7,-36,63,DEN
39,1998-99,Regular Season,0029800063,"FEB 12, 1999",DAL @ DEN,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,7,-63,42,DEN
40,1998-99,Regular Season,0029800063,"FEB 12, 1999",DAL @ DEN,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,93,149,DEN
41,1998-99,Regular Season,0029800063,"FEB 12, 1999",DAL @ DEN,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,-143,-18,DEN
42,1998-99,Regular Season,0029800063,"FEB 12, 1999",DAL @ DEN,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,136,214,DEN
43,1998-99,Regular Season,0029800063,"FEB 12, 1999",DAL @ DEN,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-149,-25,DEN
44,1998-99,Regular Season,0029800063,"FEB 12, 1999",DAL @ DEN,2,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,4,42,8,DEN
45,1998-99,Regular Season,0029800063,"FEB 12, 1999",DAL @ DEN,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,21,-205,76,DEN
46,1998-99,Regular Season,0029800073,"FEB 14, 1999",DAL @ VAN,1,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,11,35,111,VAN
47,1998-99,Regular Season,0029800073,"FEB 14, 1999",DAL @ VAN,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,-98,139,VAN
48,1998-99,Regular Season,0029800073,"FEB 14, 1999",DAL @ VAN,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,6,-6,61,VAN
49,1998-99,Regular Season,0029800073,"FEB 14, 1999",DAL @ VAN,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,-119,61,VAN
50,1998-99,Regular Season,0029800073,"FEB 14, 1999",DAL @ VAN,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,158,21,VAN
51,1998-99,Regular Season,0029800073,"FEB 14, 1999",DAL @ VAN,3,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,1,-6,10,VAN
52,1998-99,Regular Season,0029800073,"FEB 14, 1999",DAL @ VAN,3,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,3,35,10,VAN
53,1998-99,Regular Season,0029800079,"FEB 15, 1999",DAL @ POR,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,13,-6,132,POR
54,1998-99,Regular Season,0029800079,"FEB 15, 1999",DAL @ POR,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,7,78,5,POR
55,1998-99,Regular Season,0029800079,"FEB 15, 1999",DAL @ POR,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,POR
56,1998-99,Regular Season,0029800079,"FEB 15, 1999",DAL @ POR,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-85,132,POR
57,1998-99,Regular Season,0029800079,"FEB 15, 1999",DAL @ POR,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-205,139,POR
58,1998-99,Regular Season,0029800079,"FEB 15, 1999",DAL @ POR,3,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,4,-6,44,POR
59,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,LAL
60,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-169,-1,LAL
61,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,LAL
62,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,8,89,-1,LAL
63,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,-199,8,LAL
64,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,123,91,LAL
65,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,LAL
66,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,-156,78,LAL
67,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,LAL
68,1998-99,Regular Season,0029800096,"FEB 17, 1999",DAL @ LAL,4,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,15,74,134,LAL
69,1998-99,Regular Season,0029800113,"FEB 19, 1999",DAL @ GSW,1,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,6,8,63,GSW
70,1998-99,Regular Season,0029800113,"FEB 19, 1999",DAL @ GSW,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,13,-76,113,GSW
71,1998-99,Regular Season,0029800113,"FEB 19, 1999",DAL @ GSW,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,63,244,GSW
72,1998-99,Regular Season,0029800113,"FEB 19, 1999",DAL @ GSW,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,GSW
73,1998-99,Regular Season,0029800113,"FEB 19, 1999",DAL @ GSW,3,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,51,25,GSW
74,1998-99,Regular Season,0029800121,"FEB 20, 1999",DAL @ LAC,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,154,5,LAC
75,1998-99,Regular Season,0029800121,"FEB 20, 1999",DAL @ LAC,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,8,-81,18,LAC
76,1998-99,Regular Season,0029800121,"FEB 20, 1999",DAL @ LAC,2,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,6,-36,53,LAC
77,1998-99,Regular Season,0029800121,"FEB 20, 1999",DAL @ LAC,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,147,209,LAC
78,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,23,143,192,PHX
79,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,PHX
80,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,PHX
81,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-158,59,PHX
82,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,2,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,6,29,53,PHX
83,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-106,115,PHX
84,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-158,42,PHX
85,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,24+ ft.,22,-227,3,PHX
86,1998-99,Regular Season,0029800137,"FEB 22, 1999",DAL @ PHX,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,85,231,PHX
87,1998-99,Regular Season,0029800142,"FEB 23, 1999",DAL vs. ATL,2,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,7,76,-5,ATL
88,1998-99,Regular Season,0029800158,"FEB 25, 1999",DAL vs. DEN,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,126,76,DEN
89,1998-99,Regular Season,0029800158,"FEB 25, 1999",DAL vs. DEN,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,-115,-10,DEN
90,1998-99,Regular Season,0029800158,"FEB 25, 1999",DAL vs. DEN,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-128,3,DEN
91,1998-99,Regular Season,0029800168,"FEB 26, 1999",DAL @ UTA,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,23,169,169,UTA
92,1998-99,Regular Season,0029800168,"FEB 26, 1999",DAL @ UTA,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,147,78,UTA
93,1998-99,Regular Season,0029800168,"FEB 26, 1999",DAL @ UTA,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
94,1998-99,Regular Season,0029800168,"FEB 26, 1999",DAL @ UTA,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,-121,124,UTA
95,1998-99,Regular Season,0029800168,"FEB 26, 1999",DAL @ UTA,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-194,151,UTA
96,1998-99,Regular Season,0029800168,"FEB 26, 1999",DAL @ UTA,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
97,1998-99,Regular Season,0029800168,"FEB 26, 1999",DAL @ UTA,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,21,-166,130,UTA
98,1998-99,Regular Season,0029800201,"MAR 02, 1999",DAL vs. LAC,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,-136,-16,LAC
99,1998-99,Regular Season,0029800201,"MAR 02, 1999",DAL vs. LAC,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,LAC
100,1998-99,Regular Season,0029800201,"MAR 02, 1999",DAL vs. LAC,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,235,104,LAC
101,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,-111,149,SAS
102,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,2,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,SAS
103,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,9,-96,27,SAS
104,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,-151,205,SAS
105,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,123,143,SAS
106,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,SAS
107,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,100,66,SAS
108,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,171,115,SAS
109,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,3,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,24+ ft.,23,235,5,SAS
110,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,10,-96,33,SAS
111,1998-99,Regular Season,0029800216,"MAR 04, 1999",DAL vs. SAS,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,26,117,239,SAS
112,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,111,173,UTA
113,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
114,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,196,72,UTA
115,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,11,-1,113,UTA
116,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,-179,179,UTA
117,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,4,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,7,55,46,UTA
118,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-166,16,UTA
119,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,23,98,218,UTA
120,1998-99,Regular Season,0029800226,"MAR 05, 1999",DAL @ UTA,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
121,1998-99,Regular Season,0029800240,"MAR 07, 1999",DAL @ SAC,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-149,63,SAC
122,1998-99,Regular Season,0029800240,"MAR 07, 1999",DAL @ SAC,3,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,11,8,115,SAC
123,1998-99,Regular Season,0029800240,"MAR 07, 1999",DAL @ SAC,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,229,115,SAC
124,1998-99,Regular Season,0029800252,"MAR 09, 1999",DAL vs. PHX,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-145,201,PHX
125,1998-99,Regular Season,0029800252,"MAR 09, 1999",DAL vs. PHX,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,136,111,PHX
126,1998-99,Regular Season,0029800252,"MAR 09, 1999",DAL vs. PHX,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,-145,-10,PHX
127,1998-99,Regular Season,0029800252,"MAR 09, 1999",DAL vs. PHX,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,158,83,PHX
128,1998-99,Regular Season,0029800270,"MAR 11, 1999",DAL vs. ORL,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,-130,-10,ORL
129,1998-99,Regular Season,0029800270,"MAR 11, 1999",DAL vs. ORL,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-158,-10,ORL
130,1998-99,Regular Season,0029800270,"MAR 11, 1999",DAL vs. ORL,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,ORL
131,1998-99,Regular Season,0029800270,"MAR 11, 1999",DAL vs. ORL,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,21,-38,209,ORL
132,1998-99,Regular Season,0029800285,"MAR 13, 1999",DAL vs. VAN,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-130,205,VAN
133,1998-99,Regular Season,0029800285,"MAR 13, 1999",DAL vs. VAN,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,164,-16,VAN
134,1998-99,Regular Season,0029800285,"MAR 13, 1999",DAL vs. VAN,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,24+ ft.,22,229,10,VAN
135,1998-99,Regular Season,0029800285,"MAR 13, 1999",DAL vs. VAN,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,26,130,229,VAN
136,1998-99,Regular Season,0029800304,"MAR 15, 1999",DAL vs. POR,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,POR
137,1998-99,Regular Season,0029800304,"MAR 15, 1999",DAL vs. POR,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,207,156,POR
138,1998-99,Regular Season,0029800304,"MAR 15, 1999",DAL vs. POR,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,-102,83,POR
139,1998-99,Regular Season,0029800304,"MAR 15, 1999",DAL vs. POR,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,10,250,POR
140,1998-99,Regular Season,0029800304,"MAR 15, 1999",DAL vs. POR,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,-136,-10,POR
141,1998-99,Regular Season,0029800304,"MAR 15, 1999",DAL vs. POR,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,130,216,POR
142,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-158,5,NJN
143,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,21,-214,27,NJN
144,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,93,233,NJN
145,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,-6,188,NJN
146,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,-171,100,NJN
147,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,-192,76,NJN
148,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-171,177,NJN
149,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,22,207,100,NJN
150,1998-99,Regular Season,0029800318,"MAR 17, 1999",DAL @ NJN,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,21,-214,27,NJN
151,1998-99,Regular Season,0029800337,"MAR 19, 1999",DAL @ DET,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,26,138,224,DET
152,1998-99,Regular Season,0029800337,"MAR 19, 1999",DAL @ DET,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,27,-83,259,DET
153,1998-99,Regular Season,0029800337,"MAR 19, 1999",DAL @ DET,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,DET
